                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.105,                 2.7218,                 1.2737,                0.00983,                      1,                0.82954,                0.53407,                 1.0592,                 3.2463,                 1.1743,                0.00036,                0.00036,                0.00036
                      2,                 1.0999,                 1.6066,                 1.2124,                      1,                0.56144,                0.82462,                0.49728,                 1.2905,                 3.3611,                 1.2659,             0.00073267,             0.00073267,             0.00073267
                      3,                 1.1375,                 1.4449,                  1.235,                0.72523,                0.70164,                0.77061,                0.45952,                 1.3038,                 2.8149,                 1.5488,              0.0010978,              0.0010978,              0.0010978
                      4,                 1.1358,                 1.3106,                 1.2137,                0.51072,                0.39241,                0.37452,                0.20593,                 1.6436,                 5.9162,                 1.9059,              0.0014555,              0.0014555,              0.0014555
                      5,                   1.18,                 1.3024,                 1.2393,                0.54249,                0.45034,                0.48103,                0.28577,                 1.5412,                 4.0435,                 1.7435,              0.0018056,              0.0018056,              0.0018056
                      6,                 1.1826,                 1.2258,                  1.242,                0.61746,                0.70886,                0.67673,                0.38893,                 1.4433,                 2.5359,                 1.6855,               0.001901,               0.001901,               0.001901
                      7,                 1.2214,                 1.1765,                 1.2465,                0.40192,                0.50633,                  0.441,                0.24442,                 1.5934,                 2.4048,                 1.7296,               0.001901,               0.001901,               0.001901
                      8,                 1.1994,                 1.1648,                  1.274,                0.92443,                0.86076,                0.93833,                0.55313,                 1.3029,                 1.8555,                 1.4145,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1401,                 1.0195,                 1.2154,                0.56305,                0.83544,                0.68322,                0.37717,                 1.4693,                 4.3766,                 1.5562,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1485,                0.98541,                 1.2053,                0.62964,                0.74684,                0.71951,                0.43785,                 1.3546,                 1.6982,                 1.4695,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1536,                 0.9507,                 1.2386,                0.90296,                0.94237,                0.96362,                0.64517,                 1.2013,                 1.0553,                   1.33,              0.0018218,              0.0018218,              0.0018218
